index,date,hour,Category,District,count,weather,dayoff
369,2019-01-04,10,5,12,1,-5.9125000000000005,1
370,2019-01-04,11,2,4,1,-5.9125000000000005,1
371,2019-01-04,11,2,5,1,-5.9125000000000005,1
372,2019-01-04,11,2,8,2,-5.9125000000000005,1
373,2019-01-04,11,2,9,1,-5.9125000000000005,1
374,2019-01-04,11,2,11,5,-5.9125000000000005,1
375,2019-01-04,11,2,16,1,-5.9125000000000005,1
376,2019-01-04,11,5,7,1,-5.9125000000000005,1
377,2019-01-04,11,5,8,1,-5.9125000000000005,1
378,2019-01-04,11,5,13,1,-5.9125000000000005,1
379,2019-01-04,11,5,14,2,-5.9125000000000005,1
380,2019-01-04,12,1,8,1,-5.9125000000000005,1
381,2019-01-04,12,2,5,1,-5.9125000000000005,1
382,2019-01-04,12,2,11,2,-5.9125000000000005,1
383,2019-01-04,13,1,8,1,-5.9125000000000005,1
384,2019-01-04,13,2,5,1,-5.9125000000000005,1
385,2019-01-04,13,2,6,1,-5.9125000000000005,1
386,2019-01-04,13,2,11,1,-5.9125000000000005,1
387,2019-01-04,14,2,11,1,-5.9125000000000005,1
388,2019-01-04,14,5,8,2,-5.9125000000000005,1
389,2019-01-04,15,2,6,2,-5.9125000000000005,1
390,2019-01-04,15,2,10,1,-5.9125000000000005,1
391,2019-01-04,16,2,0,1,-5.9125000000000005,1
392,2019-01-04,16,2,4,1,-5.9125000000000005,1
393,2019-01-04,16,2,11,1,-5.9125000000000005,1
394,2019-01-04,16,2,14,1,-5.9125000000000005,1
395,2019-01-04,16,5,1,1,-5.9125000000000005,1
396,2019-01-04,17,2,9,1,-5.9125000000000005,1
397,2019-01-04,17,2,11,1,-5.9125000000000005,1
398,2019-01-04,17,4,6,1,-5.9125000000000005,1
399,2019-01-04,17,4,8,1,-5.9125000000000005,1
400,2019-01-04,17,5,0,1,-5.9125000000000005,1
401,2019-01-04,17,5,1,1,-5.9125000000000005,1
402,2019-01-04,17,5,8,1,-5.9125000000000005,1
403,2019-01-04,18,2,7,4,-5.9125000000000005,1
404,2019-01-04,18,2,11,1,-5.9125000000000005,1
405,2019-01-04,18,4,1,1,-5.9125000000000005,1
406,2019-01-04,18,4,6,3,-5.9125000000000005,1
407,2019-01-04,18,4,11,1,-5.9125000000000005,1
408,2019-01-04,19,2,0,1,-5.9125000000000005,1
409,2019-01-04,19,2,4,2,-5.9125000000000005,1
410,2019-01-04,19,2,5,2,-5.9125000000000005,1
